,index,importance
0,PAIN,0.21660773728003396
1,species,0.1650345436161022
2,LEMA,0.07852265930707739
3,precip,0.07609934343795385
4,CHFU,0.057189348509694385
5,POMA,0.044262785806411076
6,HOMA,0.02824077821807474
7,PUPA,0.026669476758809697
8,co3,0.024889985311451427
9,cn,0.0235422862769294
10,p,0.018964204156971535
11,salinity,0.01842192207402107
12,mo,0.017661059903045888
13,k,0.017414687359918784
14,PLCO,0.017052736569948705
15,ca,0.01574011133179616
16,SASO,0.015649833420466448
17,random_noise,0.014738386184925827
18,c,0.014071771330801893
19,na,0.012060833450159689
20,mg,0.011883802783518834
21,ph,0.011419279998740383
22,cl,0.010541404261592025
23,MESU,0.00963171264189877
24,CETE,0.009111033494042053
25,RAPE,0.008763928426411948
26,BEMA,0.006215339627588126
27,CHMI,0.005545699943568791
28,POMO,0.004639346637728494
29,SOAS,0.00461327524797657
30,n,0.0035288433673289635
31,MEEL,0.0028225592747046944
32,SPRU,0.002688193972604474
33,SCLA,0.0025271376276575167
34,LYTR,0.0021160683678319867
35,COSQ,0.00034038413469834243
36,MEPO,0.0003240027714556806
37,SUSP,0.0003092177947488869
38,FRPU,0.000144279321309368
