"Species";"Iteration";"Method";"RMSE";"RSE"
"SPRU";69;"Linear_Regression";20,2066954260485;61,9605798758264
"SPRU";70;"Linear_Regression";21,5405532160499;84,0024545348718
"SPRU";71;"Linear_Regression";23,8759782979636;243,298686765309
"SPRU";72;"Linear_Regression";16,0510956754018;55,8860778202951
"SPRU";73;"Linear_Regression";18,9139482265882;144,150147277734
"SPRU";74;"Linear_Regression";20,2833465817042;64,8709000855174
"SPRU";75;"Linear_Regression";19,2446359055184;15,3140175271194
"SPRU";76;"Linear_Regression";18,5062046307149;59,3069981754043
"SPRU";77;"Linear_Regression";25,8945189965799;36,9276275170863
"SPRU";78;"Linear_Regression";18,6760209681631;458,516267291001
"SPRU";79;"Linear_Regression";18,8661865238851;1808,1674165516
"SPRU";80;"Linear_Regression";21,113391244626;83,2003544271317
"SPRU";81;"Linear_Regression";17,9248108950231;24,5711470758499
"SPRU";82;"Linear_Regression";21,207242203859;118,90998685848
"SPRU";83;"Linear_Regression";21,5148579730968;46,2694744879619
"SPRU";84;"Linear_Regression";24,9097539590676;223,939579018113
"SPRU";85;"Linear_Regression";18,2678754928804;207,074606552968
"SPRU";86;"Linear_Regression";21,1798612511474;54,6562717967363
"SPRU";87;"Linear_Regression";18,3227966975659;59,6891545030177
"SPRU";88;"Linear_Regression";19,1463856621009;11,4148440368885
"SPRU";89;"Linear_Regression";20,6383648961732;124,718610450674
"SPRU";90;"Linear_Regression";22,3061880671704;22,5769113469221
"SPRU";91;"Linear_Regression";19,1063571627183;96,8867094680679
"SPRU";92;"Linear_Regression";18,0649809102628;92,0499914711462
"SPRU";93;"Linear_Regression";18,9841049918287;276,657115443949
"SPRU";94;"Linear_Regression";15,8926660729545;36,5929087357377
"SPRU";95;"Linear_Regression";21,4131225084168;235,97977641425
"SPRU";96;"Linear_Regression";19,361830465886;52,6673228740342
"SPRU";97;"Linear_Regression";23,0498730006634;147,888950463897
"SPRU";98;"Linear_Regression";18,9170062649311;13,6162901698907
"SPRU";99;"Linear_Regression";18,2478703268375;34,3637594864658
"MEPO";0;"Linear_Regression";22,3329543751529;9,307498707285
"MEPO";1;"Linear_Regression";22,9097264327979;2,20316388846505
"MEPO";2;"Linear_Regression";22,2685454724771;1,0712696743254
"MEPO";3;"Linear_Regression";26,5132638351401;3,44442070851614
"MEPO";4;"Linear_Regression";22,9090882446756;2,28200240973251
"MEPO";5;"Linear_Regression";24,870810207566;2,50448244652917
"MEPO";6;"Linear_Regression";22,4744977592439;22,3999866319427
"MEPO";7;"Linear_Regression";25,9064246918093;19,6097737855415
"MEPO";8;"Linear_Regression";25,5845555394625;1,78704852476302
"MEPO";9;"Linear_Regression";22,9272939808751;5,75396119299914
"MEPO";10;"Linear_Regression";22,1723292396767;5,35814661112142
"MEPO";11;"Linear_Regression";24,9986426390744;3,49002973654888
"MEPO";12;"Linear_Regression";25,5267672497393;2,39028110378156
"MEPO";13;"Linear_Regression";21,6683700199892;6,70969555984612
"MEPO";14;"Linear_Regression";25,0519412136939;3,38514417948644
"MEPO";15;"Linear_Regression";21,6833843550078;2,15107589792458
"MEPO";16;"Linear_Regression";29,1688840433979;3,17644464066918
"MEPO";17;"Linear_Regression";22,4418669133803;19,9595336310791
"MEPO";18;"Linear_Regression";19,6740944438757;4,59164535380966
"MEPO";19;"Linear_Regression";24,1932227417056;4,85208256374433
"MEPO";20;"Linear_Regression";24,5411886564415;2,3195499184107
