"Species";"Iteration";"Method";"RMSE";"RSE";"R2"
"SPRU";0;"Linear_Regression";24,3945334642653;67,0901119628013;-66,0901119628013
"SPRU";1;"Linear_Regression";19,3522162631416;15,427009123801;-14,427009123801
"SPRU";2;"Linear_Regression";20,3779153236855;502,133791294799;-501,133791294799
"SPRU";3;"Linear_Regression";21,4191752372161;61,7944937765049;-60,7944937765049
"SPRU";4;"Linear_Regression";19,2906622672977;103,274288902637;-102,274288902637
"SPRU";5;"Linear_Regression";23,3454738042807;31,3344991716117;-30,3344991716117
"SPRU";6;"Linear_Regression";22,9978698171001;312,902113940466;-311,902113940466
"SPRU";7;"Linear_Regression";25,7910221436931;38,7363886233051;-37,7363886233051
"SPRU";8;"Linear_Regression";20,260007261813;524,085541736139;-523,085541736139
"SPRU";9;"Linear_Regression";17,8193374421894;18,1599870196622;-17,1599870196622
"SPRU";10;"Linear_Regression";18,4188973700537;209,239789391168;-208,239789391168
"SPRU";11;"Linear_Regression";19,6605125572699;162,636103155867;-161,636103155867
"SPRU";12;"Linear_Regression";22,401995245461;67,3124354346426;-66,3124354346426
"SPRU";13;"Linear_Regression";23,0709347876379;861,94833341329;-860,94833341329
"SPRU";14;"Linear_Regression";18,4111971991988;20,999438067369;-19,999438067369
"SPRU";15;"Linear_Regression";19,0927962886386;220,588614506862;-219,588614506862
"SPRU";16;"Linear_Regression";26,1202836717564;855,236421989207;-854,236421989207
"SPRU";17;"Linear_Regression";18,3356756429421;1300,63078705374;-1299,63078705374
"SPRU";18;"Linear_Regression";20,3983525479865;44,641351255973;-43,641351255973
"SPRU";19;"Linear_Regression";22,3535638018685;470,202422397141;-469,202422397141
"SPRU";20;"Linear_Regression";20,1201134182791;74,0710683746832;-73,0710683746832
"SPRU";21;"Linear_Regression";19,7491309487255;43,833615424244;-42,833615424244
"SPRU";22;"Linear_Regression";24,0612533526483;36,4243989339915;-35,4243989339915
"SPRU";23;"Linear_Regression";17,8978230814112;60,3221712207729;-59,3221712207729
"SPRU";24;"Linear_Regression";22,2861424082357;129,475459661021;-128,475459661021
"SPRU";25;"Linear_Regression";20,8125681705125;428,363744772616;-427,363744772616
"SPRU";26;"Linear_Regression";20,3340373384996;29,6356479539585;-28,6356479539585
