"Iteration";"Method";"RMSE";"RSE";"R2"
0;"Linear_Regression";45,8074915924673;0,756157695188543;0,243842304811457
1;"Linear_Regression";48,8066408918705;0,758066778112199;0,241933221887801
2;"Linear_Regression";48,5887431752641;0,765916750299036;0,234083249700964
3;"Linear_Regression";50,7573581464577;0,685280414086519;0,314719585913481
4;"Linear_Regression";47,9199559733657;0,787024765305523;0,212975234694477
5;"Linear_Regression";46,4871108306534;0,760182213161561;0,239817786838439
6;"Linear_Regression";47,2354983161099;0,782274138341245;0,217725861658755
7;"Linear_Regression";45,826855923288;0,752242146597449;0,247757853402551
8;"Linear_Regression";50,4032000560525;0,743131066720085;0,256868933279915
9;"Linear_Regression";48,1683802430664;0,750485750636588;0,249514249363412
10;"Linear_Regression";46,0308131435908;0,777978919772296;0,222021080227704
11;"Linear_Regression";56,3348162373322;0,714306304300959;0,285693695699041
12;"Linear_Regression";48,2940801109959;0,772937079426513;0,227062920573487
13;"Linear_Regression";48,4812110640503;0,782251872091162;0,217748127908838
14;"Linear_Regression";46,3026390528513;0,794955380624401;0,205044619375599
15;"Linear_Regression";50,3800554587871;0,767782705628281;0,232217294371719
16;"Linear_Regression";52,9365550566692;0,757280184259274;0,242719815740726
17;"Linear_Regression";45,3045216674806;0,770379057694437;0,229620942305563
18;"Linear_Regression";46,5482447547051;0,785521109582244;0,214478890417756
19;"Linear_Regression";46,6300641825782;0,765621289631268;0,234378710368732
20;"Linear_Regression";44,6869195155626;0,793488767287594;0,206511232712406
21;"Linear_Regression";50,4051699747055;0,734250298303914;0,265749701696086
22;"Linear_Regression";46,3660265163146;0,797653968662419;0,202346031337581
23;"Linear_Regression";48,9493338004095;0,775896359743232;0,224103640256768
24;"Linear_Regression";50,6383501666943;0,75320611601297;0,24679388398703
25;"Linear_Regression";46,031601183099;0,773293446645597;0,226706553354403
26;"Linear_Regression";49,4077885692582;0,783463842887165;0,216536157112835
27;"Linear_Regression";51,1989586721136;0,761434195448282;0,238565804551718
28;"Linear_Regression";48,2666373718342;0,72874959850321;0,27125040149679
29;"Linear_Regression";47,5970244726301;0,754866689750781;0,245133310249219
30;"Linear_Regression";43,1771556463193;0,808828618929901;0,191171381070099
31;"Linear_Regression";49,4648412942307;0,725052349042517;0,274947650957483
32;"Linear_Regression";44,4823418290994;0,765782854788096;0,234217145211904
33;"Linear_Regression";45,4250878002365;0,76903819633857;0,23096180366143
34;"Linear_Regression";42,8353607603639;0,766895618907981;0,233104381092019
35;"Linear_Regression";47,580671538777;0,729307796562296;0,270692203437704
36;"Linear_Regression";44,2369795949522;0,805950393857799;0,194049606142201
37;"Linear_Regression";49,3398348798971;0,744430374379948;0,255569625620052
38;"Linear_Regression";43,4706677953791;0,791853521563243;0,208146478436757
39;"Linear_Regression";49,0546655961875;0,752771373320222;0,247228626679778
40;"Linear_Regression";45,7813159771188;0,755430134896684;0,244569865103316
41;"Linear_Regression";45,0050818427772;0,784744396543581;0,215255603456419
42;"Linear_Regression";48,9555042411722;0,710631253415976;0,289368746584024
43;"Linear_Regression";45,2920857349394;0,780651388281589;0,219348611718411
44;"Linear_Regression";51,0527780763472;0,733401840451429;0,266598159548571
45;"Linear_Regression";49,0715269587819;0,733599995277334;0,266400004722666
46;"Linear_Regression";53,4855801881231;0,740885208042015;0,259114791957985
47;"Linear_Regression";51,2518979156273;0,740849615676537;0,259150384323463
48;"Linear_Regression";41,837135028683;0,777021661938665;0,222978338061335
49;"Linear_Regression";47,9429221784822;0,743753947381739;0,256246052618261
50;"Linear_Regression";48,6652983445611;0,734315624448367;0,265684375551633
51;"Linear_Regression";46,9904145141529;0,758258613731916;0,241741386268084
52;"Linear_Regression";42,614752711075;0,812942976812721;0,187057023187279
53;"Linear_Regression";50,6727090150623;0,737911018645754;0,262088981354246
54;"Linear_Regression";43,0105942854305;0,786553599857544;0,213446400142456
55;"Linear_Regression";50,2991727001452;0,755755033301544;0,244244966698456
56;"Linear_Regression";47,8037827607667;0,771083835473664;0,228916164526336
57;"Linear_Regression";45,1966602278574;0,787265386671191;0,212734613328809
58;"Linear_Regression";45,1526723405505;0,767362123429516;0,232637876570484
